Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202509,01,001,3,6,Autauga County                                              ,155,155,65735324,0,0,0,0,0,0,0,0,0,155,155,65735324,0,0,0,0,0,0,0,0,0
202509,01,003,3,6,Baldwin County                                              ,1952,1952,677303592,5,10,1428000,0,0,0,3,72,9061527,1795,1795,640733995,5,10,1428000,0,0,0,2,53,6765716
202509,01,005,3,6,Barbour County                                              ,10,10,2823300,0,0,0,0,0,0,0,0,0,10,10,2823300,0,0,0,0,0,0,0,0,0
202509,01,007,3,6,Bibb County                                                 ,5,5,1517215,0,0,0,0,0,0,0,0,0,5,5,1517215,0,0,0,0,0,0,0,0,0
202509,01,009,3,6,Blount County                                               ,14,14,2409999,0,0,0,1,4,210000,0,0,0,9,9,1687000,0,0,0,1,4,210000,0,0,0
202509,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,013,3,6,Butler County                                               ,5,5,659179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,015,3,6,Calhoun County                                              ,112,112,17323116,4,8,1100000,0,0,0,0,0,0,99,99,13832260,4,8,1100000,0,0,0,0,0,0
202509,01,017,3,6,Chambers County                                             ,28,28,4564211,0,0,0,0,0,0,2,56,13249827,22,22,3594495,0,0,0,0,0,0,2,56,13249827
202509,01,019,3,6,Cherokee County                                             ,13,13,3013800,0,0,0,0,0,0,0,0,0,7,7,1740000,0,0,0,0,0,0,0,0,0
202509,01,021,3,6,Chilton County                                              ,56,56,11144015,0,0,0,0,0,0,0,0,0,56,56,11144015,0,0,0,0,0,0,0,0,0
202509,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,025,3,6,Clarke County                                               ,7,7,1655179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,027,3,6,Clay County                                                 ,9,9,1400253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,029,3,6,Cleburne County                                             ,5,5,1294993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,031,3,6,Coffee County                                               ,154,154,43254453,0,0,0,0,0,0,0,0,0,149,149,41386118,0,0,0,0,0,0,0,0,0
202509,01,033,3,6,Colbert County                                              ,65,65,9344989,0,0,0,0,0,0,0,0,0,41,41,5715335,0,0,0,0,0,0,0,0,0
202509,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,039,3,6,Covington County                                            ,12,12,2296750,0,0,0,0,0,0,0,0,0,8,8,1620000,0,0,0,0,0,0,0,0,0
202509,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202509,01,043,3,6,Cullman County                                              ,125,125,22448242,0,0,0,0,0,0,0,0,0,114,114,20777677,0,0,0,0,0,0,0,0,0
202509,01,045,3,6,Dale County                                                 ,19,19,2561101,0,0,0,0,0,0,0,0,0,15,15,1891400,0,0,0,0,0,0,0,0,0
