Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202512,01,001,3,6,Autauga County                                              ,10,10,4336551,0,0,0,0,0,0,0,0,0,10,10,4336551,0,0,0,0,0,0,0,0,0
202512,01,003,3,6,Baldwin County                                              ,176,176,53473398,0,0,0,0,0,0,6,30,7192033,164,164,50553342,0,0,0,0,0,0,6,30,7192033
202512,01,005,3,6,Barbour County                                              ,2,2,566900,0,0,0,0,0,0,0,0,0,2,2,566900,0,0,0,0,0,0,0,0,0
202512,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,009,3,6,Blount County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,013,3,6,Butler County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,015,3,6,Calhoun County                                              ,6,6,1100229,3,6,785000,0,0,0,0,0,0,4,4,619360,3,6,785000,0,0,0,0,0,0
202512,01,017,3,6,Chambers County                                             ,4,4,480000,0,0,0,0,0,0,0,0,0,4,4,480000,0,0,0,0,0,0,0,0,0
202512,01,019,3,6,Cherokee County                                             ,1,1,515000,0,0,0,0,0,0,0,0,0,1,1,515000,0,0,0,0,0,0,0,0,0
202512,01,021,3,6,Chilton County                                              ,6,6,1466000,0,0,0,0,0,0,0,0,0,6,6,1466000,0,0,0,0,0,0,0,0,0
202512,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,025,3,6,Clarke County                                               ,1,1,286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,027,3,6,Clay County                                                 ,1,1,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,031,3,6,Coffee County                                               ,7,7,1534167,0,0,0,0,0,0,0,0,0,6,6,1160500,0,0,0,0,0,0,0,0,0
202512,01,033,3,6,Colbert County                                              ,5,5,625147,0,0,0,0,0,0,0,0,0,3,3,350615,0,0,0,0,0,0,0,0,0
202512,01,035,3,6,Conecuh County                                              ,1,1,149500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,039,3,6,Covington County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,01,043,3,6,Cullman County                                              ,21,21,3219766,0,0,0,0,0,0,0,0,0,21,21,3219766,0,0,0,0,0,0,0,0,0
202512,01,045,3,6,Dale County                                                 ,3,3,240700,0,0,0,0,0,0,0,0,0,3,3,240700,0,0,0,0,0,0,0,0,0
