MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT238200,507645.0,5,4.0,6236 Elm Blvd,84045,1614.0,6206.0,2005.0,46.0,315.0,50.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/23314596,40.351656,-111.926522,Saratoga Springs,False
UT199566,716677.0,4,2.5,6568 Juniper Ct,84045,3257.0,7893.0,2016.0,55.0,220.0,0.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/63444748,40.344867,-111.91548,Saratoga Springs,False
UT735635,683232.0,4,2.5,347 Valley View Dr,84045,2970.0,9368.0,2018.0,15.0,230.0,0.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/31265241,40.321987,-111.91106,Saratoga Springs,False
UT658133,559290.0,3,3.0,3063 Maple Dr,84045,2453.0,7925.0,2010.0,15.0,228.0,50.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/21342370,40.358247,-111.910049,Saratoga Springs,False
UT527951,626851.0,5,4.0,8559 Sunset Blvd,84045,2439.0,7529.0,2017.0,11.0,257.0,150.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/79877361,40.352924,-111.884301,Saratoga Springs,False
UT317474,648199.0,4,4.0,2489 Spruce Way,84045,3460.0,11502.0,2005.0,50.0,187.0,150.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/22934679,40.354339,-111.896699,Saratoga Springs,False
UT179973,315301.0,4,2.0,3066 Willow Rd,84045,1606.0,5288.0,2000.0,0.0,196.0,0.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/70320325,40.317863,-111.92606,Saratoga Springs,False
UT612290,695615.0,4,2.5,3292 Cedar St,84045,3073.0,8573.0,2001.0,51.0,226.0,150.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/72378587,40.317425,-111.900111,Saratoga Springs,False
UT307642,506303.0,5,4.0,1855 Lakeside Dr,84045,1883.0,8337.0,2010.0,42.0,269.0,0.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/15420520,40.365654,-111.8881,Saratoga Springs,False
UT631175,474137.0,5,2.0,1638 Aspen Way,84045,1626.0,7787.0,2021.0,41.0,292.0,100.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/25564954,40.333855,-111.921866,Saratoga Springs,False
UT718720,655521.0,6,4.0,3535 Willow Rd,84045,2663.0,10460.0,2002.0,61.0,246.0,100.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/81492715,40.328057,-111.863323,Saratoga Springs,False
UT864490,671855.0,4,2.5,8754 Juniper Ct,84045,3741.0,6135.0,2010.0,47.0,180.0,150.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/55656342,40.339315,-111.925843,Saratoga Springs,False
UT544585,604224.0,3,4.0,115 Birch Ln,84045,3165.0,11630.0,2016.0,65.0,191.0,0.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/20921672,40.349772,-111.856013,Saratoga Springs,False
UT104267,556391.0,5,2.5,2903 Juniper Ct,84045,3226.0,6652.0,2004.0,68.0,172.0,150.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/99259701,40.367337,-111.922071,Saratoga Springs,False
UT352599,632373.0,5,3.0,700 Cedar St,84045,3121.0,8360.0,2017.0,82.0,203.0,0.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/33848933,40.327187,-111.862514,Saratoga Springs,False
UT868031,676080.0,5,3.5,5658 Maple Dr,84045,3286.0,8165.0,2006.0,71.0,206.0,50.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/10360684,40.365489,-111.857788,Saratoga Springs,False
UT579925,665282.0,3,2.0,2580 Aspen Way,84045,2631.0,10798.0,2019.0,46.0,253.0,50.0,Active,https://www.redfin.com/UT/Saratoga-Springs/home/93174941,40.311492,-111.851634,Saratoga Springs,False
