MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT544528,668966.0,4,3.0,4177 Cedar St,84003,3303.0,10322.0,2010.0,65.0,203.0,50.0,Active,https://www.redfin.com/UT/American-Fork/home/99603776,40.389537,-111.812771,American Fork,False
UT624393,645983.0,4,4.0,7896 Elm Blvd,84003,2512.0,6081.0,2001.0,80.0,257.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/85079951,40.376318,-111.776228,American Fork,False
UT656561,516085.0,4,2.5,3337 Aspen Way,84003,1773.0,7389.0,2017.0,24.0,291.0,50.0,Active,https://www.redfin.com/UT/American-Fork/home/43384232,40.379119,-111.808513,American Fork,False
UT209011,461198.0,3,4.0,841 Oak Ave,84003,1451.0,7868.0,2019.0,36.0,318.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/61912715,40.399069,-111.797375,American Fork,False
UT331722,664085.0,6,4.0,7171 Aspen Way,84003,2736.0,5974.0,2011.0,8.0,243.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/73830608,40.38346,-111.802363,American Fork,False
UT813071,660730.0,5,2.5,6654 Oak Ave,84003,2694.0,7381.0,2001.0,7.0,245.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/51817845,40.371334,-111.814094,American Fork,False
UT976381,542396.0,5,3.0,5859 Oak Ave,84003,3352.0,6781.0,2016.0,35.0,162.0,75.0,Active,https://www.redfin.com/UT/American-Fork/home/46699365,40.376588,-111.772785,American Fork,False
UT343085,843428.0,3,3.5,1518 Valley View Dr,84003,3505.0,9558.0,2022.0,49.0,241.0,75.0,Active,https://www.redfin.com/UT/American-Fork/home/39676281,40.380273,-111.798091,American Fork,False
UT460647,590538.0,4,3.0,6354 Pine St,84003,1786.0,10058.0,2004.0,1.0,331.0,150.0,Active,https://www.redfin.com/UT/American-Fork/home/22555828,40.399985,-111.785483,American Fork,False
UT923762,496155.0,5,3.5,2064 Juniper Ct,84003,2155.0,4787.0,2002.0,76.0,230.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/12243656,40.379081,-111.791237,American Fork,False
UT246093,663098.0,5,4.0,5599 Cedar St,84003,1898.0,7721.0,2017.0,10.0,349.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/40323415,40.370792,-111.794914,American Fork,False
UT335063,596397.0,5,3.5,5127 Valley View Dr,84003,1656.0,11929.0,2007.0,89.0,360.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/81616515,40.385388,-111.789171,American Fork,False
UT150323,511830.0,5,4.0,7748 Elm Blvd,84003,1405.0,10947.0,2016.0,24.0,364.0,75.0,Active,https://www.redfin.com/UT/American-Fork/home/31003452,40.372508,-111.775083,American Fork,False
UT311292,515425.0,4,4.0,9767 Elm Blvd,84003,1597.0,10350.0,2016.0,34.0,323.0,50.0,Active,https://www.redfin.com/UT/American-Fork/home/26177322,40.378222,-111.785034,American Fork,False
UT672554,676673.0,5,4.0,1981 Cedar St,84003,2659.0,9879.0,2005.0,14.0,254.0,150.0,Active,https://www.redfin.com/UT/American-Fork/home/39527039,40.399771,-111.793376,American Fork,False
UT413402,479533.0,4,4.0,1235 Oak Ave,84003,1764.0,4034.0,2000.0,74.0,272.0,150.0,Active,https://www.redfin.com/UT/American-Fork/home/63900592,40.391139,-111.787741,American Fork,False
UT985040,493488.0,3,2.5,5600 Oak Ave,84003,1867.0,11792.0,2012.0,65.0,264.0,100.0,Active,https://www.redfin.com/UT/American-Fork/home/29351951,40.37152,-111.78968,American Fork,False
UT902398,515685.0,6,2.0,9523 Maple Dr,84003,1682.0,9881.0,2009.0,7.0,307.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/29835529,40.383461,-111.798344,American Fork,False
UT906214,793808.0,3,2.0,1665 Lakeside Dr,84003,3138.0,11108.0,2020.0,9.0,253.0,0.0,Active,https://www.redfin.com/UT/American-Fork/home/20111060,40.375149,-111.788762,American Fork,False
UT753733,722792.0,4,2.5,4924 Juniper Ct,84003,2925.0,11271.0,2007.0,54.0,247.0,150.0,Active,https://www.redfin.com/UT/American-Fork/home/39898867,40.373688,-111.797822,American Fork,False
