MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT435461,551006.0,3,4.0,5416 Pine St,84003,2308.0,10259.0,2011.0,2.0,239.0,75.0,Sold,https://www.redfin.com/UT/American-Fork/home/48475680,40.38636,-111.774082,American Fork,True
UT339354,674068.0,5,2.5,9027 Lakeside Dr,84003,2761.0,5736.0,2023.0,50.0,244.0,0.0,Sold,https://www.redfin.com/UT/American-Fork/home/88627576,40.392063,-111.818948,American Fork,True
UT930789,499887.0,5,3.5,9562 Cedar St,84003,2166.0,8896.0,2019.0,52.0,231.0,0.0,Sold,https://www.redfin.com/UT/American-Fork/home/69701409,40.389485,-111.808029,American Fork,True
UT640025,522934.0,4,2.5,584 Sunset Blvd,84003,2450.0,6428.0,2007.0,32.0,213.0,150.0,Sold,https://www.redfin.com/UT/American-Fork/home/28140033,40.380752,-111.784507,American Fork,True
UT429270,530772.0,4,4.0,3869 Pine St,84003,1697.0,7186.0,2022.0,4.0,313.0,75.0,Sold,https://www.redfin.com/UT/American-Fork/home/57388649,40.370172,-111.782158,American Fork,True
UT236832,537374.0,5,4.0,8398 Lakeside Dr,84003,2240.0,8238.0,2011.0,49.0,240.0,150.0,Sold,https://www.redfin.com/UT/American-Fork/home/73601128,40.373465,-111.800379,American Fork,True
UT804689,522823.0,5,2.5,5006 Juniper Ct,84003,1740.0,5995.0,2013.0,17.0,300.0,0.0,Sold,https://www.redfin.com/UT/American-Fork/home/16960709,40.399192,-111.787162,American Fork,True
UT689441,555221.0,4,3.0,5137 Lakeside Dr,84003,1943.0,10373.0,2001.0,32.0,286.0,0.0,Sold,https://www.redfin.com/UT/American-Fork/home/78699191,40.39767,-111.789392,American Fork,True
UT867665,555429.0,4,4.0,5743 Spruce Way,84003,2406.0,7157.0,2004.0,39.0,231.0,150.0,Sold,https://www.redfin.com/UT/American-Fork/home/28112395,40.379753,-111.783011,American Fork,True
UT494345,564393.0,4,2.0,7048 Spruce Way,84003,2600.0,7694.0,2012.0,8.0,217.0,150.0,Sold,https://www.redfin.com/UT/American-Fork/home/36519047,40.377766,-111.784067,American Fork,True
UT234916,700332.0,4,3.5,9392 Pine St,84003,3660.0,10517.0,2005.0,3.0,191.0,150.0,Sold,https://www.redfin.com/UT/American-Fork/home/47471013,40.383092,-111.815706,American Fork,True
UT400950,434485.0,4,4.0,8879 Willow Rd,84003,1462.0,5821.0,2013.0,4.0,297.0,0.0,Sold,https://www.redfin.com/UT/American-Fork/home/55442325,40.390698,-111.812087,American Fork,True
UT658066,705805.0,5,4.0,6287 Pine St,84003,3556.0,7618.0,2000.0,57.0,198.0,100.0,Sold,https://www.redfin.com/UT/American-Fork/home/92441188,40.380705,-111.813364,American Fork,True
UT316832,564792.0,6,2.0,5811 Mountain Rd,84003,2187.0,11947.0,2005.0,57.0,258.0,50.0,Sold,https://www.redfin.com/UT/American-Fork/home/30069035,40.372019,-111.773376,American Fork,True
UT163638,646013.0,3,3.5,3673 Mountain Rd,84003,3137.0,7197.0,2015.0,25.0,206.0,100.0,Sold,https://www.redfin.com/UT/American-Fork/home/33026265,40.382084,-111.774323,American Fork,True
UT840996,738542.0,4,3.5,1251 Maple Dr,84003,3026.0,4924.0,2014.0,25.0,244.0,100.0,Sold,https://www.redfin.com/UT/American-Fork/home/44103668,40.377818,-111.780129,American Fork,True
UT577478,705491.0,3,2.0,7118 Spruce Way,84003,3730.0,6275.0,2023.0,24.0,189.0,50.0,Sold,https://www.redfin.com/UT/American-Fork/home/87154886,40.379748,-111.814164,American Fork,True
UT457006,594444.0,6,3.5,125 Mountain Rd,84003,1660.0,11647.0,2021.0,21.0,358.0,0.0,Sold,https://www.redfin.com/UT/American-Fork/home/96862094,40.374889,-111.791286,American Fork,True
UT597560,728557.0,5,3.5,7011 Valley View Dr,84003,3721.0,10073.0,2019.0,32.0,196.0,150.0,Sold,https://www.redfin.com/UT/American-Fork/home/50904347,40.389765,-111.810638,American Fork,True
UT764630,468837.0,4,4.0,5019 Willow Rd,84003,1550.0,10472.0,1999.0,21.0,302.0,50.0,Sold,https://www.redfin.com/UT/American-Fork/home/72382422,40.385799,-111.801581,American Fork,True
