MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT576096,606295.0,6,4.0,8159 Pine St,84062,2366.0,4306.0,2010.0,3.0,256.0,50.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/60130280,40.426508,-111.769857,Cedar Hills,False
UT414782,700754.0,4,3.0,3766 Mountain Rd,84062,3330.0,11764.0,2006.0,5.0,210.0,50.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/36632494,40.438191,-111.749214,Cedar Hills,False
UT506907,664170.0,4,2.0,4545 Sunset Blvd,84062,2785.0,8261.0,1999.0,54.0,238.0,150.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/68626267,40.407504,-111.761118,Cedar Hills,False
UT302561,553070.0,5,2.5,8004 Lakeside Dr,84062,1845.0,11587.0,2021.0,75.0,300.0,0.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/33415577,40.424752,-111.753281,Cedar Hills,False
UT938398,488305.0,3,3.5,9847 Cedar St,84062,1780.0,5013.0,2003.0,73.0,274.0,0.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/91661162,40.433155,-111.7679,Cedar Hills,False
UT808986,769925.0,4,3.5,1055 Cedar St,84062,3721.0,6186.0,2020.0,61.0,207.0,75.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/95189938,40.420361,-111.764881,Cedar Hills,False
UT279144,685687.0,5,2.5,4937 Elm Blvd,84062,2473.0,7639.0,2013.0,33.0,277.0,0.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/24931626,40.414487,-111.751314,Cedar Hills,False
UT761411,642893.0,5,2.0,7549 Willow Rd,84062,3046.0,4235.0,2016.0,32.0,211.0,150.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/75497974,40.43939,-111.76083,Cedar Hills,False
UT261713,606586.0,3,2.5,187 Birch Ln,84062,2265.0,4823.0,2016.0,38.0,268.0,0.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/93643836,40.405639,-111.763558,Cedar Hills,False
UT507958,527370.0,3,2.5,8079 Oak Ave,84062,1616.0,6635.0,2020.0,23.0,326.0,100.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/21417950,40.416437,-111.763135,Cedar Hills,False
UT773841,569706.0,4,3.5,2500 Cedar St,84062,2388.0,9896.0,1999.0,37.0,239.0,75.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/76566712,40.434935,-111.763555,Cedar Hills,False
UT132734,879632.0,3,4.0,5231 Aspen Way,84062,3063.0,9667.0,2023.0,9.0,287.0,50.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/94393623,40.436019,-111.751314,Cedar Hills,False
UT753146,526781.0,5,2.0,9785 Valley View Dr,84062,2200.0,4694.0,2000.0,28.0,239.0,75.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/30259064,40.439215,-111.764969,Cedar Hills,False
UT303353,720956.0,6,3.5,6387 Maple Dr,84062,2848.0,4478.0,2023.0,84.0,253.0,0.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/62413313,40.435394,-111.759119,Cedar Hills,False
UT729262,637768.0,4,3.5,9890 Oak Ave,84062,2451.0,9248.0,2005.0,63.0,260.0,0.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/81806017,40.402038,-111.749363,Cedar Hills,False
UT549250,592006.0,4,3.5,6073 Birch Ln,84062,2210.0,6877.0,2020.0,12.0,268.0,100.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/40002612,40.437191,-111.75459,Cedar Hills,False
UT123514,448304.0,4,4.0,2183 Sunset Blvd,84062,2012.0,10336.0,2001.0,25.0,223.0,150.0,Active,https://www.redfin.com/UT/Cedar-Hills/home/31403843,40.417127,-111.752082,Cedar Hills,False
