MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT197032,680986.0,5,3.0,1614 Spruce Way,84062,3105.0,11956.0,2015.0,13.0,219.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/16830895,40.41856,-111.758813,Cedar Hills,True
UT164142,768469.0,5,2.5,2129 Spruce Way,84062,3524.0,6287.0,2019.0,39.0,218.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/54175330,40.430094,-111.75339,Cedar Hills,True
UT530873,555509.0,6,2.0,5292 Juniper Ct,84062,1868.0,6916.0,2014.0,58.0,297.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/47991801,40.404777,-111.740558,Cedar Hills,True
UT684178,795982.0,4,3.0,6826 Lakeside Dr,84062,3651.0,4223.0,2004.0,8.0,218.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/51118984,40.42767,-111.766411,Cedar Hills,True
UT334284,758359.0,5,2.5,323 Birch Ln,84062,3666.0,11550.0,2004.0,20.0,207.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/54474951,40.426694,-111.747292,Cedar Hills,True
UT769953,482949.0,4,2.0,6384 Maple Dr,84062,1497.0,6874.0,2000.0,18.0,323.0,75.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/71993268,40.41483,-111.75997,Cedar Hills,True
UT453144,638073.0,6,4.0,2673 Valley View Dr,84062,2254.0,5341.0,2000.0,33.0,283.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/36438692,40.438813,-111.766489,Cedar Hills,True
UT109963,586184.0,4,4.0,2878 Spruce Way,84062,2391.0,7866.0,2017.0,31.0,245.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/63726462,40.435788,-111.757342,Cedar Hills,True
UT583369,691108.0,6,2.5,6254 Birch Ln,84062,2406.0,5237.0,2020.0,47.0,287.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/31914193,40.412646,-111.753537,Cedar Hills,True
UT262962,748504.0,5,3.5,188 Sunset Blvd,84062,3268.0,10318.0,2003.0,33.0,229.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/90032715,40.401244,-111.763821,Cedar Hills,True
UT113017,631062.0,4,3.0,1652 Cedar St,84062,3076.0,4584.0,2013.0,14.0,205.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/17620586,40.412332,-111.757842,Cedar Hills,True
UT217101,556939.0,5,3.0,4603 Birch Ln,84062,1910.0,7993.0,2002.0,33.0,292.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/16028948,40.408189,-111.75093,Cedar Hills,True
UT356124,645914.0,4,3.5,5881 Cedar St,84062,2861.0,7130.0,2009.0,57.0,226.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/13395644,40.42189,-111.752707,Cedar Hills,True
UT563374,809490.0,4,3.0,1180 Cedar St,84062,3739.0,4297.0,2018.0,34.0,216.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/41463811,40.43675,-111.748305,Cedar Hills,True
UT990649,654424.0,4,4.0,3679 Valley View Dr,84062,2456.0,4418.0,2019.0,35.0,266.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/64562230,40.434814,-111.744908,Cedar Hills,True
UT296463,820972.0,5,2.0,3144 Spruce Way,84062,3627.0,8149.0,2022.0,10.0,226.0,50.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/98694470,40.412233,-111.757726,Cedar Hills,True
UT151659,745763.0,4,3.5,5389 Elm Blvd,84062,2959.0,7157.0,2006.0,0.0,252.0,50.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/50918138,40.417144,-111.757311,Cedar Hills,True
UT272134,750815.0,5,4.0,3075 Sunset Blvd,84062,3619.0,5037.0,2022.0,12.0,207.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/26405681,40.401462,-111.755099,Cedar Hills,True
UT387453,762954.0,5,4.0,118 Maple Dr,84062,3566.0,5107.0,2018.0,1.0,214.0,75.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/43142007,40.421767,-111.753009,Cedar Hills,True
UT284722,527925.0,4,2.0,5347 Elm Blvd,84062,1440.0,10438.0,2007.0,27.0,367.0,50.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/21460009,40.402535,-111.76675,Cedar Hills,True
UT389279,733044.0,4,2.0,8498 Oak Ave,84062,3320.0,9844.0,2007.0,52.0,221.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/52478852,40.437544,-111.760621,Cedar Hills,True
UT972150,593420.0,4,3.5,5888 Lakeside Dr,84062,1853.0,8862.0,2001.0,26.0,320.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/75607479,40.434677,-111.764843,Cedar Hills,True
UT441446,985748.0,4,4.0,3682 Elm Blvd,84062,3378.0,10666.0,2022.0,38.0,292.0,50.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/13197958,40.408568,-111.758424,Cedar Hills,True
UT671244,795486.0,6,4.0,4875 Valley View Dr,84062,3339.0,4554.0,2004.0,51.0,238.0,75.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/79969163,40.427975,-111.740799,Cedar Hills,True
UT716302,649877.0,4,4.0,1487 Pine St,84062,2020.0,9502.0,2005.0,45.0,322.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/30570629,40.422721,-111.752518,Cedar Hills,True
UT217126,502183.0,4,2.0,2442 Juniper Ct,84062,1558.0,10020.0,2009.0,39.0,322.0,75.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/70504618,40.432054,-111.757119,Cedar Hills,True
UT322969,580894.0,5,3.0,4434 Spruce Way,84062,2406.0,5603.0,2002.0,47.0,241.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/83394595,40.419026,-111.753022,Cedar Hills,True
UT474144,617124.0,5,3.5,5963 Mountain Rd,84062,2127.0,8290.0,2019.0,16.0,290.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/79857623,40.407671,-111.749928,Cedar Hills,True
UT514241,716050.0,5,3.5,4912 Cedar St,84062,2729.0,10134.0,2016.0,25.0,262.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/70289303,40.425594,-111.756951,Cedar Hills,True
UT111861,558576.0,5,3.5,9631 Sunset Blvd,84062,1596.0,8827.0,2002.0,23.0,350.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/72434940,40.403211,-111.756569,Cedar Hills,True
UT680376,521598.0,6,2.5,6409 Valley View Dr,84062,1506.0,5996.0,2003.0,47.0,346.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/26885883,40.423384,-111.748958,Cedar Hills,True
UT370623,616235.0,6,3.0,327 Oak Ave,84062,2449.0,9318.0,1999.0,24.0,252.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/22219361,40.408508,-111.768174,Cedar Hills,True
UT390089,728682.0,4,3.0,5292 Lakeside Dr,84062,3247.0,10075.0,2022.0,56.0,224.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/44312789,40.427397,-111.753798,Cedar Hills,True
UT642704,567916.0,3,4.0,5869 Cedar St,84062,2155.0,4077.0,2009.0,11.0,264.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/64739970,40.433122,-111.75358,Cedar Hills,True
UT953894,616160.0,4,2.5,530 Elm Blvd,84062,2176.0,8539.0,2015.0,10.0,283.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/65634916,40.404381,-111.747297,Cedar Hills,True
UT878466,575627.0,6,2.5,3911 Oak Ave,84062,1793.0,8036.0,2002.0,42.0,321.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/79918900,40.416011,-111.740521,Cedar Hills,True
UT981704,511517.0,6,2.0,8727 Cedar St,84062,2078.0,6933.0,2004.0,45.0,246.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/37764654,40.429341,-111.746127,Cedar Hills,True
UT472152,605581.0,5,2.0,3632 Spruce Way,84062,2117.0,4353.0,2012.0,40.0,286.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/87896493,40.406548,-111.754886,Cedar Hills,True
UT207706,531529.0,5,4.0,4618 Spruce Way,84062,2022.0,4667.0,2004.0,18.0,263.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/50423310,40.422661,-111.764916,Cedar Hills,True
UT294381,638166.0,4,4.0,2289 Spruce Way,84062,2224.0,10001.0,2014.0,0.0,287.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/32161171,40.426874,-111.752352,Cedar Hills,True
UT409437,620131.0,5,2.5,862 Aspen Way,84062,2080.0,10620.0,2022.0,19.0,298.0,50.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/76187564,40.414192,-111.744971,Cedar Hills,True
UT370216,762373.0,4,3.5,3249 Mountain Rd,84062,3033.0,7354.0,2006.0,27.0,251.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/21468768,40.433279,-111.742028,Cedar Hills,True
UT287174,626262.0,5,3.0,7750 Maple Dr,84062,2211.0,11517.0,2014.0,24.0,283.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/46478134,40.420426,-111.745241,Cedar Hills,True
UT235788,761924.0,4,4.0,9832 Mountain Rd,84062,3211.0,11421.0,2021.0,55.0,237.0,50.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/80298139,40.42508,-111.764331,Cedar Hills,True
UT268110,711537.0,3,2.5,6634 Aspen Way,84062,2851.0,9327.0,2021.0,51.0,250.0,75.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/79399618,40.405635,-111.748623,Cedar Hills,True
UT692449,613238.0,6,4.0,8324 Elm Blvd,84062,2937.0,8647.0,1999.0,46.0,209.0,100.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/33089350,40.400926,-111.743595,Cedar Hills,True
UT541881,641087.0,6,2.5,6528 Sunset Blvd,84062,2800.0,11716.0,2001.0,1.0,229.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/24989697,40.40203,-111.749569,Cedar Hills,True
UT133804,826223.0,5,3.5,6620 Birch Ln,84062,3614.0,8878.0,2023.0,7.0,229.0,150.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/18043851,40.436157,-111.749427,Cedar Hills,True
UT607443,622407.0,5,2.5,4326 Juniper Ct,84062,2013.0,11472.0,2022.0,26.0,309.0,75.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/84269219,40.435306,-111.754995,Cedar Hills,True
UT858116,779161.0,4,3.5,705 Mountain Rd,84062,3757.0,11831.0,2007.0,37.0,207.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/80524364,40.432304,-111.750891,Cedar Hills,True
UT483086,600756.0,5,2.5,4163 Sunset Blvd,84062,1895.0,5556.0,2012.0,40.0,317.0,0.0,Sold,https://www.redfin.com/UT/Cedar-Hills/home/55539201,40.407984,-111.761169,Cedar Hills,True
