MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT289553,646321.0,5,2.5,9275 Juniper Ct,84005,3240.0,9888.0,2014.0,33.0,199.0,150.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/58557652,40.308969,-111.941633,Eagle Mountain,False
UT977862,431964.0,6,4.0,5474 Valley View Dr,84005,2244.0,7427.0,2006.0,49.0,192.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/38464783,40.278583,-111.977786,Eagle Mountain,False
UT258332,529353.0,6,2.5,3450 Spruce Way,84005,2860.0,4766.0,2016.0,14.0,185.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/93690462,40.288936,-111.974775,Eagle Mountain,False
UT514882,528821.0,3,3.0,3272 Elm Blvd,84005,2757.0,9518.0,1999.0,55.0,192.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/28473386,40.312211,-112.008826,Eagle Mountain,False
UT383151,474194.0,6,2.0,8394 Pine St,84005,2722.0,5684.0,2000.0,23.0,174.0,100.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/51805816,40.27539,-111.948055,Eagle Mountain,False
UT678272,569794.0,3,4.0,2906 Oak Ave,84005,2392.0,10945.0,2017.0,62.0,238.0,150.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/50825275,40.344517,-111.98014,Eagle Mountain,False
UT712621,648302.0,5,4.0,1672 Aspen Way,84005,2559.0,10659.0,2014.0,72.0,253.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/77103037,40.279907,-112.026612,Eagle Mountain,False
UT926797,647891.0,6,3.5,5780 Oak Ave,84005,3377.0,6956.0,2000.0,77.0,192.0,75.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/59213210,40.285838,-111.961699,Eagle Mountain,False
UT810294,804479.0,5,2.5,9924 Valley View Dr,84005,3716.0,8444.0,2021.0,83.0,216.0,75.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/81956254,40.331226,-111.93495,Eagle Mountain,False
UT323806,519997.0,6,2.0,1914 Valley View Dr,84005,2016.0,8541.0,1999.0,11.0,258.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/92717840,40.277755,-111.947085,Eagle Mountain,False
UT285991,584583.0,4,3.5,2627 Birch Ln,84005,3006.0,9227.0,2022.0,12.0,194.0,50.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/45156268,40.342022,-112.00228,Eagle Mountain,False
UT897901,747945.0,4,3.0,4743 Aspen Way,84005,3727.0,4553.0,2017.0,83.0,201.0,75.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/25271508,40.328056,-112.024667,Eagle Mountain,False
UT539082,490381.0,4,4.0,2077 Aspen Way,84005,1418.0,6598.0,2023.0,34.0,346.0,150.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/92445248,40.27549,-111.935965,Eagle Mountain,False
UT187790,573335.0,4,3.5,6542 Sunset Blvd,84005,3283.0,5362.0,2022.0,2.0,175.0,100.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/26019042,40.325348,-111.936294,Eagle Mountain,False
UT842472,599451.0,5,3.0,2610 Willow Rd,84005,2592.0,9579.0,2006.0,25.0,231.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/86523613,40.32053,-111.976758,Eagle Mountain,False
UT683602,849491.0,4,4.0,1368 Valley View Dr,84005,3722.0,4553.0,2017.0,75.0,228.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/45122258,40.330588,-111.965768,Eagle Mountain,False
UT123013,538782.0,5,4.0,2686 Willow Rd,84005,2787.0,8135.0,2004.0,31.0,193.0,50.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/96812307,40.336256,-111.98374,Eagle Mountain,False
UT804553,829484.0,4,3.0,9311 Spruce Way,84005,3411.0,9823.0,2010.0,6.0,243.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/21627519,40.327468,-111.988023,Eagle Mountain,False
UT646637,417863.0,4,2.0,9354 Pine St,84005,1798.0,11587.0,2005.0,64.0,232.0,50.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/51894999,40.316894,-112.018055,Eagle Mountain,False
UT653144,422380.0,4,2.0,5106 Birch Ln,84005,1741.0,6304.0,2011.0,17.0,243.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/91169224,40.295797,-112.020325,Eagle Mountain,False
UT878442,686677.0,5,3.0,4064 Sunset Blvd,84005,3623.0,4063.0,2020.0,31.0,190.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/14272614,40.325782,-112.006727,Eagle Mountain,False
UT545980,547666.0,6,3.0,8212 Spruce Way,84005,2663.0,9789.0,2009.0,0.0,206.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/33851335,40.346558,-111.946336,Eagle Mountain,False
UT515138,506316.0,6,2.0,2023 Valley View Dr,84005,2740.0,4012.0,2001.0,54.0,185.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/17520582,40.317002,-112.015417,Eagle Mountain,False
UT655611,444253.0,4,2.0,6573 Lakeside Dr,84005,1807.0,4531.0,2007.0,40.0,246.0,100.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/38914628,40.323148,-112.00733,Eagle Mountain,False
UT278004,597484.0,4,3.5,6831 Birch Ln,84005,1944.0,11923.0,2018.0,78.0,307.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/45124852,40.30497,-111.975139,Eagle Mountain,False
UT236497,503107.0,5,3.5,7128 Oak Ave,84005,3363.0,10900.0,2012.0,30.0,150.0,150.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/65700157,40.33049,-112.008487,Eagle Mountain,False
UT859398,513858.0,5,2.0,2257 Elm Blvd,84005,2127.0,9660.0,2013.0,18.0,242.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/33191837,40.349813,-112.013679,Eagle Mountain,False
UT294013,512453.0,3,3.0,7188 Aspen Way,84005,2801.0,10684.0,2009.0,14.0,183.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/24281601,40.282831,-111.973668,Eagle Mountain,False
UT553909,441843.0,5,2.0,6158 Willow Rd,84005,2159.0,4602.0,2006.0,18.0,205.0,0.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/25294653,40.286192,-111.993191,Eagle Mountain,False
UT342909,506901.0,3,3.5,8762 Birch Ln,84005,2032.0,4711.0,2013.0,40.0,249.0,100.0,Active,https://www.redfin.com/UT/Eagle-Mountain/home/94456368,40.313155,-111.967384,Eagle Mountain,False
