MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT196489,365087.0,4,3.5,1922 Cedar St,84005,1863.0,6693.0,2007.0,0.0,196.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/42777523,40.281456,-111.978745,Eagle Mountain,True
UT105434,432476.0,3,2.0,367 Elm Blvd,84005,2060.0,4165.0,2013.0,14.0,210.0,75.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/49333185,40.289718,-111.996301,Eagle Mountain,True
UT344249,529341.0,3,3.5,8417 Birch Ln,84005,2700.0,9432.0,2016.0,32.0,196.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/86380180,40.285917,-111.963795,Eagle Mountain,True
UT114619,419840.0,4,2.0,6820 Lakeside Dr,84005,2007.0,9594.0,2007.0,44.0,209.0,150.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/85782338,40.288062,-111.966935,Eagle Mountain,True
UT421838,451881.0,3,3.0,796 Valley View Dr,84005,1709.0,10052.0,2015.0,49.0,264.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/27157847,40.322484,-111.936013,Eagle Mountain,True
UT996725,565316.0,4,2.0,2660 Lakeside Dr,84005,2898.0,6104.0,2008.0,5.0,195.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/37684888,40.296201,-111.933874,Eagle Mountain,True
UT531026,571521.0,3,2.0,280 Pine St,84005,3053.0,6624.0,2002.0,8.0,187.0,100.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/83923671,40.319202,-111.961932,Eagle Mountain,True
UT121513,607654.0,6,2.0,9552 Lakeside Dr,84005,3159.0,11504.0,2008.0,5.0,192.0,150.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/92529397,40.341221,-111.948218,Eagle Mountain,True
UT544518,617425.0,3,3.0,346 Maple Dr,84005,3665.0,10573.0,2010.0,54.0,168.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/17116225,40.318205,-111.950757,Eagle Mountain,True
UT297193,417822.0,5,3.0,7978 Aspen Way,84005,1698.0,4297.0,1999.0,39.0,246.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/85023467,40.325563,-111.98087,Eagle Mountain,True
UT870574,559660.0,4,2.5,5161 Maple Dr,84005,2424.0,9535.0,2021.0,31.0,231.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/54030615,40.29924,-111.959554,Eagle Mountain,True
UT181508,500564.0,4,3.5,5868 Spruce Way,84005,1961.0,10501.0,2012.0,47.0,255.0,150.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/63128065,40.282779,-112.022174,Eagle Mountain,True
UT793502,670582.0,5,3.5,8133 Pine St,84005,3562.0,8473.0,1999.0,35.0,188.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/16779759,40.295647,-111.954198,Eagle Mountain,True
UT501371,529157.0,6,3.5,8959 Aspen Way,84005,2695.0,9119.0,2020.0,14.0,196.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/71232236,40.347143,-111.933817,Eagle Mountain,True
UT116966,397504.0,5,3.0,1361 Aspen Way,84005,1635.0,4007.0,2020.0,30.0,243.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/71011321,40.319745,-112.021503,Eagle Mountain,True
UT705820,552728.0,6,3.0,276 Spruce Way,84005,3061.0,4240.0,1999.0,42.0,181.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/69643455,40.292201,-111.946388,Eagle Mountain,True
UT509519,378756.0,5,3.0,1333 Cedar St,84005,1503.0,4280.0,2003.0,2.0,252.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/81154133,40.306073,-111.936702,Eagle Mountain,True
UT794399,488838.0,5,2.5,6856 Pine St,84005,2058.0,5271.0,2008.0,36.0,238.0,75.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/95145088,40.336841,-112.007381,Eagle Mountain,True
UT656265,614300.0,3,3.0,5728 Elm Blvd,84005,3131.0,11926.0,2011.0,29.0,196.0,75.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/86487268,40.323475,-111.977519,Eagle Mountain,True
UT808529,599930.0,6,2.0,930 Birch Ln,84005,2614.0,9074.0,2017.0,4.0,230.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/77030527,40.314852,-111.937214,Eagle Mountain,True
UT514355,662591.0,5,4.0,2419 Birch Ln,84005,3226.0,10258.0,2009.0,15.0,205.0,100.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/98313601,40.340813,-111.933977,Eagle Mountain,True
UT107144,546556.0,4,2.5,5418 Aspen Way,84005,2770.0,6364.0,2014.0,26.0,197.0,75.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/70708915,40.323795,-112.017212,Eagle Mountain,True
UT217580,693135.0,4,3.5,7328 Elm Blvd,84005,3423.0,11500.0,1999.0,20.0,202.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/70481414,40.321418,-111.9951,Eagle Mountain,True
UT513010,607910.0,5,4.0,3499 Birch Ln,84005,2750.0,5591.0,2015.0,17.0,221.0,75.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/58785135,40.285181,-111.960186,Eagle Mountain,True
UT457726,442666.0,3,3.0,9500 Juniper Ct,84005,1536.0,11218.0,2021.0,38.0,288.0,75.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/79215571,40.278511,-112.007844,Eagle Mountain,True
UT814926,471416.0,5,4.0,9922 Pine St,84005,1571.0,4246.0,2012.0,24.0,300.0,100.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/16423821,40.347211,-111.997523,Eagle Mountain,True
UT470489,624518.0,4,3.0,7682 Cedar St,84005,3264.0,4163.0,2010.0,29.0,191.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/55518244,40.317909,-112.027671,Eagle Mountain,True
UT874166,363545.0,3,2.0,4596 Pine St,84005,1492.0,4631.0,2006.0,47.0,244.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/48278890,40.303255,-112.014648,Eagle Mountain,True
UT268944,494611.0,4,2.0,8783 Oak Ave,84005,2303.0,10334.0,2022.0,5.0,215.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/92146320,40.317122,-111.973767,Eagle Mountain,True
UT446386,405004.0,6,2.0,7305 Oak Ave,84005,1438.0,6059.0,1999.0,21.0,282.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/16530462,40.274945,-111.964691,Eagle Mountain,True
UT780675,515791.0,4,4.0,5243 Birch Ln,84005,2128.0,7609.0,2006.0,4.0,242.0,150.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/67938253,40.33577,-111.965109,Eagle Mountain,True
UT211685,555196.0,5,3.0,4492 Aspen Way,84005,2828.0,7770.0,2002.0,55.0,196.0,100.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/26589699,40.287332,-111.952164,Eagle Mountain,True
UT389260,500157.0,5,2.5,8339 Maple Dr,84005,1815.0,10316.0,2020.0,11.0,276.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/89519625,40.334364,-111.988472,Eagle Mountain,True
UT776669,460662.0,3,3.0,5614 Lakeside Dr,84005,2518.0,6789.0,2011.0,49.0,183.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/86666872,40.31275,-112.002651,Eagle Mountain,True
UT630087,710925.0,5,2.5,1910 Aspen Way,84005,3790.0,4053.0,2022.0,11.0,188.0,150.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/31190681,40.292126,-112.028442,Eagle Mountain,True
UT800261,433885.0,4,4.0,9997 Mountain Rd,84005,1569.0,7091.0,2015.0,19.0,277.0,50.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/88453532,40.272417,-112.009337,Eagle Mountain,True
UT564156,422253.0,5,4.0,776 Sunset Blvd,84005,1552.0,6305.0,2012.0,36.0,272.0,0.0,Sold,https://www.redfin.com/UT/Eagle-Mountain/home/54706399,40.335267,-111.998761,Eagle Mountain,True
