MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT280185,704121.0,5,2.5,5225 Birch Ln,84003,3288.0,6067.0,2004.0,51.0,214.0,100.0,Sold,https://www.redfin.com/UT/Highland/home/36091513,40.416032,-111.787166,Highland,True
UT150319,620555.0,5,2.0,6133 Aspen Way,84003,2061.0,9646.0,2004.0,46.0,301.0,0.0,Sold,https://www.redfin.com/UT/Highland/home/64233711,40.438578,-111.778586,Highland,True
UT511916,789953.0,4,4.0,828 Maple Dr,84003,3406.0,7893.0,2009.0,42.0,232.0,0.0,Sold,https://www.redfin.com/UT/Highland/home/22680177,40.42879,-111.798963,Highland,True
UT143091,602340.0,6,3.0,2382 Cedar St,84003,2280.0,5749.0,2000.0,18.0,264.0,150.0,Sold,https://www.redfin.com/UT/Highland/home/91500287,40.444116,-111.792587,Highland,True
UT864746,820060.0,5,4.0,7159 Willow Rd,84003,3627.0,5169.0,2007.0,36.0,226.0,0.0,Sold,https://www.redfin.com/UT/Highland/home/10493955,40.446298,-111.791072,Highland,True
UT900549,672814.0,3,3.5,2301 Oak Ave,84003,2653.0,7160.0,2020.0,45.0,254.0,75.0,Sold,https://www.redfin.com/UT/Highland/home/52360248,40.444899,-111.804398,Highland,True
UT820858,767543.0,5,2.5,728 Maple Dr,84003,2927.0,8523.0,2020.0,29.0,262.0,100.0,Sold,https://www.redfin.com/UT/Highland/home/87120237,40.412575,-111.817309,Highland,True
UT370888,608661.0,4,2.5,9602 Spruce Way,84003,1889.0,6241.0,1999.0,42.0,322.0,100.0,Sold,https://www.redfin.com/UT/Highland/home/75300499,40.440274,-111.819789,Highland,True
UT246743,856425.0,3,3.5,2322 Maple Dr,84003,3787.0,5962.0,2015.0,7.0,226.0,75.0,Sold,https://www.redfin.com/UT/Highland/home/87688662,40.446861,-111.778194,Highland,True
UT554185,761817.0,6,2.5,5196 Oak Ave,84003,1862.0,6156.0,2023.0,23.0,409.0,100.0,Sold,https://www.redfin.com/UT/Highland/home/54673386,40.434854,-111.809988,Highland,True
