MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT498746,540780.0,6,2.0,2937 Elm Blvd,84043,2400.0,11392.0,2009.0,73.0,225.0,75.0,Active,https://www.redfin.com/UT/Lehi/home/60477540,40.421078,-111.824034,Lehi,False
UT341555,662295.0,5,4.0,7772 Spruce Way,84043,3299.0,5697.0,2003.0,89.0,201.0,50.0,Active,https://www.redfin.com/UT/Lehi/home/88645904,40.398602,-111.862956,Lehi,False
UT410054,651493.0,6,2.5,4884 Mountain Rd,84043,3488.0,8359.0,2006.0,51.0,187.0,0.0,Active,https://www.redfin.com/UT/Lehi/home/18888837,40.411629,-111.849581,Lehi,False
UT773661,711430.0,6,4.0,5876 Lakeside Dr,84043,2377.0,7795.0,2009.0,30.0,299.0,75.0,Active,https://www.redfin.com/UT/Lehi/home/49117943,40.400537,-111.898139,Lehi,False
UT777977,762161.0,3,2.0,8952 Maple Dr,84043,3517.0,7320.0,2021.0,79.0,217.0,150.0,Active,https://www.redfin.com/UT/Lehi/home/19263819,40.410531,-111.877703,Lehi,False
UT287792,422613.0,4,3.0,7720 Valley View Dr,84043,1666.0,9061.0,2002.0,46.0,254.0,150.0,Active,https://www.redfin.com/UT/Lehi/home/48571563,40.406225,-111.859568,Lehi,False
UT588586,444031.0,5,3.0,2840 Cedar St,84043,1657.0,11915.0,2007.0,10.0,268.0,150.0,Active,https://www.redfin.com/UT/Lehi/home/53246233,40.417668,-111.829103,Lehi,False
UT993641,767736.0,4,3.0,598 Sunset Blvd,84043,3784.0,7241.0,2014.0,22.0,203.0,0.0,Active,https://www.redfin.com/UT/Lehi/home/81933833,40.40554,-111.878285,Lehi,False
UT331573,612932.0,5,2.0,6617 Maple Dr,84043,2778.0,4521.0,2004.0,61.0,221.0,75.0,Active,https://www.redfin.com/UT/Lehi/home/49805412,40.435843,-111.837985,Lehi,False
UT724063,761006.0,5,2.0,1543 Birch Ln,84043,2481.0,11327.0,2021.0,40.0,307.0,0.0,Active,https://www.redfin.com/UT/Lehi/home/94196253,40.399962,-111.847023,Lehi,False
