MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT131850,758030.0,6,3.0,6390 Birch Ln,84043,2622.0,11044.0,2022.0,3.0,289.0,150.0,Sold,https://www.redfin.com/UT/Lehi/home/77164642,40.411857,-111.874197,Lehi,True
UT454658,657376.0,5,2.5,2177 Birch Ln,84043,2400.0,10557.0,2006.0,52.0,274.0,75.0,Sold,https://www.redfin.com/UT/Lehi/home/88087162,40.400041,-111.827495,Lehi,True
UT754432,591008.0,4,3.5,1060 Cedar St,84043,1883.0,5145.0,2019.0,13.0,314.0,75.0,Sold,https://www.redfin.com/UT/Lehi/home/44114235,40.419633,-111.876102,Lehi,True
UT696703,733338.0,6,2.0,5526 Spruce Way,84043,2719.0,9009.0,2015.0,42.0,270.0,100.0,Sold,https://www.redfin.com/UT/Lehi/home/33863842,40.373299,-111.877959,Lehi,True
UT289148,662332.0,4,4.0,4567 Pine St,84043,1647.0,7296.0,2022.0,6.0,402.0,75.0,Sold,https://www.redfin.com/UT/Lehi/home/48468155,40.419762,-111.829088,Lehi,True
UT691514,696469.0,6,2.0,5161 Aspen Way,84043,3075.0,9030.0,2002.0,57.0,226.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/60534168,40.390083,-111.845534,Lehi,True
UT690774,755450.0,4,2.5,527 Spruce Way,84043,3372.0,9967.0,2014.0,47.0,224.0,50.0,Sold,https://www.redfin.com/UT/Lehi/home/40325295,40.415619,-111.828346,Lehi,True
UT272249,507510.0,4,3.0,2754 Juniper Ct,84043,1622.0,8007.0,1999.0,40.0,313.0,150.0,Sold,https://www.redfin.com/UT/Lehi/home/51405215,40.413899,-111.887528,Lehi,True
UT774929,671590.0,4,2.0,139 Cedar St,84043,2550.0,6500.0,2007.0,59.0,263.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/23582777,40.385879,-111.823816,Lehi,True
UT480061,649856.0,6,3.0,3094 Pine St,84043,2972.0,11330.0,1999.0,50.0,219.0,150.0,Sold,https://www.redfin.com/UT/Lehi/home/62545924,40.400832,-111.850981,Lehi,True
UT153397,523226.0,4,4.0,9320 Willow Rd,84043,1549.0,9305.0,2010.0,51.0,338.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/74242828,40.428494,-111.846557,Lehi,True
UT451522,593816.0,6,4.0,1607 Juniper Ct,84043,2334.0,11084.0,2019.0,6.0,254.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/57444111,40.412391,-111.826875,Lehi,True
UT792777,515086.0,4,2.0,6923 Willow Rd,84043,2019.0,5897.0,2015.0,1.0,255.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/88572781,40.374812,-111.86954,Lehi,True
UT726589,483644.0,4,3.0,157 Sunset Blvd,84043,1494.0,10706.0,2006.0,57.0,324.0,75.0,Sold,https://www.redfin.com/UT/Lehi/home/99610993,40.401004,-111.842434,Lehi,True
UT341578,751187.0,5,3.0,5661 Birch Ln,84043,3329.0,6587.0,2009.0,15.0,226.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/91503337,40.391824,-111.848773,Lehi,True
UT781211,689280.0,5,2.0,9216 Birch Ln,84043,2467.0,7683.0,2008.0,25.0,279.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/18368022,40.414915,-111.83698,Lehi,True
UT450590,769269.0,4,3.5,3476 Pine St,84043,3204.0,10883.0,2017.0,2.0,240.0,75.0,Sold,https://www.redfin.com/UT/Lehi/home/89272263,40.413019,-111.828245,Lehi,True
UT514216,588428.0,3,3.0,2051 Maple Dr,84043,2808.0,6837.0,2005.0,37.0,210.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/40033428,40.370728,-111.845595,Lehi,True
UT177975,688902.0,4,3.5,5747 Cedar St,84043,3501.0,6004.0,2001.0,49.0,197.0,150.0,Sold,https://www.redfin.com/UT/Lehi/home/50660541,40.412539,-111.894589,Lehi,True
UT997358,887699.0,5,2.5,2861 Pine St,84043,3792.0,11324.0,2011.0,50.0,234.0,150.0,Sold,https://www.redfin.com/UT/Lehi/home/47078079,40.421439,-111.885349,Lehi,True
UT854766,770770.0,3,2.5,8925 Pine St,84043,2845.0,11714.0,2019.0,34.0,271.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/88950679,40.423811,-111.823682,Lehi,True
UT275435,589336.0,3,3.5,8504 Spruce Way,84043,2245.0,6488.0,2010.0,39.0,263.0,50.0,Sold,https://www.redfin.com/UT/Lehi/home/67413136,40.374128,-111.822508,Lehi,True
UT604655,608020.0,6,3.5,6557 Oak Ave,84043,2414.0,6450.0,2004.0,30.0,252.0,0.0,Sold,https://www.redfin.com/UT/Lehi/home/97027051,40.391256,-111.822607,Lehi,True
