MLS#,PRICE,BEDS,BATHS,LOCATION,ZIP OR POSTAL CODE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE,city,sold
UT868854,527078.0,4,3.0,1850 Pine St,84045,1759.0,5995.0,2022.0,6.0,300.0,100.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/94321654,40.341564,-111.884604,Saratoga Springs,True
UT479151,509265.0,4,3.0,309 Cedar St,84045,2406.0,6165.0,2020.0,48.0,212.0,0.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/30368007,40.369801,-111.898221,Saratoga Springs,True
UT764216,692191.0,3,3.5,9762 Spruce Way,84045,3618.0,7809.0,2017.0,12.0,191.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/64587888,40.312651,-111.894399,Saratoga Springs,True
UT190258,524911.0,4,2.0,3231 Valley View Dr,84045,2634.0,11078.0,2005.0,26.0,199.0,75.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/23593226,40.334076,-111.924951,Saratoga Springs,True
UT187436,762902.0,4,4.0,1208 Spruce Way,84045,3662.0,5788.0,2021.0,26.0,208.0,0.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/73932326,40.329436,-111.8525,Saratoga Springs,True
UT804537,468765.0,5,4.0,1852 Oak Ave,84045,1429.0,9307.0,2015.0,49.0,328.0,50.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/47428088,40.366919,-111.905148,Saratoga Springs,True
UT850586,352030.0,4,2.0,2626 Spruce Way,84045,1484.0,7620.0,2003.0,16.0,237.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/74222794,40.344612,-111.914851,Saratoga Springs,True
UT948162,604619.0,6,4.0,6592 Valley View Dr,84045,3310.0,4894.0,2002.0,14.0,183.0,0.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/71661396,40.358371,-111.907116,Saratoga Springs,True
UT392159,578251.0,5,4.0,8927 Cedar St,84045,2260.0,9687.0,2020.0,20.0,256.0,0.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/99352715,40.32022,-111.85285,Saratoga Springs,True
UT120041,625526.0,6,3.5,2822 Mountain Rd,84045,2648.0,10660.0,2005.0,21.0,236.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/53977900,40.368718,-111.922457,Saratoga Springs,True
UT981913,471457.0,3,2.5,6902 Pine St,84045,2427.0,8605.0,2018.0,10.0,194.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/40738443,40.339918,-111.860616,Saratoga Springs,True
UT641234,524189.0,6,3.0,742 Willow Rd,84045,2379.0,5410.0,2002.0,10.0,220.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/24657089,40.33962,-111.873372,Saratoga Springs,True
UT322409,768286.0,5,4.0,200 Valley View Dr,84045,3654.0,5245.0,2006.0,13.0,210.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/20058427,40.368253,-111.863598,Saratoga Springs,True
UT787458,421954.0,6,2.0,643 Pine St,84045,1625.0,7387.0,2006.0,28.0,260.0,150.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/56725050,40.332844,-111.851928,Saratoga Springs,True
UT913505,668363.0,4,4.0,9238 Pine St,84045,3253.0,8051.0,2006.0,20.0,205.0,50.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/84286563,40.333852,-111.862628,Saratoga Springs,True
UT356326,721317.0,6,4.0,5858 Aspen Way,84045,3535.0,8417.0,2015.0,23.0,204.0,0.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/57992482,40.345085,-111.854529,Saratoga Springs,True
UT792700,658090.0,5,3.5,8070 Sunset Blvd,84045,2977.0,5949.0,2021.0,43.0,221.0,75.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/80373133,40.317683,-111.919845,Saratoga Springs,True
UT808799,496203.0,3,2.5,315 Lakeside Dr,84045,2348.0,8006.0,2021.0,14.0,211.0,0.0,Sold,https://www.redfin.com/UT/Saratoga-Springs/home/26012123,40.329265,-111.866337,Saratoga Springs,True
